Jugada Valida
f1,s1,h1,a11,a21,a31,a41,s2,b2,s2,b2,b2,s2,p2,s3,f3,f3,co3,hi3,a13,s4,b4,s4,co4,hi4,a23,a14,s5,dp5,o4,o5,ce2,s1,co1,o1,f2,co2,hi2,a12,f3,f3,dp3,o2,o3,ce1,s6,s6,s6,p6,f7,co7,o7,b8,f8,f8,co8,o8,ce2,co4,hi4,a14,co5,o5,s6,dp6,o4,o6,ce1,co9,o9,co1,o1,s2,s2,b2,co2,hi2,a12,co3,o3,ce2,co7,hi7,a17,r7,a27,dp8,o7,o8,f9,f9,s9,p9,ce1,b4,f4,f4,b4,f4,f4,co4,o4,b5,f5,co5,hi5,a15,co6,hi6,a25,a16,s7,b7,f7,co7,o7,co8,o8,ce2,b1,s1,b1,co1,o1,co2,o2,s3,b3,s3,co3,hi3,a13,co4,o4,ce1,co9,o9,s1,s1,b1,co1,o1,s2,s2,f2,s2,p2,ce2,f5,b5,f5,f5,s5,p5,b6,b6,f6,f6,f6,s6,p6,co7,o7,ce1,co3,o3,f4,f4,b4,co4,o4,co5,hi5,a15,s6,co6,o6,ce2,f8,s8,co8,hi8,a18,r8,a28,s9,b9,co9,o9,s1,dp1,o8,o1,ce1,s7,s7,co7,o7,b8,s8,s8,s8,p8,b9,co9,o9,ce2,f2,s2,b2,b2,f2,f2,s2,p2,co3,hi3,a13,f4,r3,a23,co4,o4,h5,a33,a15,a43,a25,a35,a45,co6,o6,ce1,co1,o1,f2,f2,f2,b2,co2,o2,co3,o3,ce2,f7,co7,o7,s8,b8,b8,bg8,a18,b9,co9,hi9,a28,a19,co1,o1,f2,s2,r8,a38,co2,hi2,a48,a29,a12,b3,s3,d3,a39,a22,a13,a49,a32,a23,co4,hi4,a42,a33,a14,s5,s5,h5,a43,a24,a15,a34,a25,a44,a35,a45,b6,co6,hi6,a16,b7,co7,o7,ce1,b4,b4,b4,f4,co4,o4,s5,f5,f5,s5,p5,co6,hi6,a16,co7,o7,ce2,ff2.

Historial

1). 	 foul   	1 	Yankees
2). 	 strike   	1 	Yankees
3). 	 home run   	1 	Yankees
4). 	 Movimiento a 1er. base   	1 	Yankees
5). 	 Movimiento a 2da. base   	1 	Yankees
6). 	 Movimiento a 3er. base   	1 	Yankees
7). 	 Movimiento a home   	1 	Yankees
8). 	 strike   	2 	Yankees
9). 	 1 bola   	2 	Yankees
10). 	 strike   	2 	Yankees
11). 	 2 bola   	2 	Yankees
12). 	 3 bola   	2 	Yankees
13). 	 strike   	2 	Yankees
14). 	 ponche   	2 	Yankees
15). 	 strike   	3 	Yankees
16). 	 foul   	3 	Yankees
17). 	 foul   	3 	Yankees
18). 	 Conctato a pelota   	3 	Yankees
19). 	 hit   	3 	Yankees
20). 	 Movimiento a 1er. base   	3 	Yankees
21). 	 strike   	4 	Yankees
22). 	 1 bola   	4 	Yankees
23). 	 strike   	4 	Yankees
24). 	 Conctato a pelota   	4 	Yankees
25). 	 hit   	4 	Yankees
26). 	 Movimiento a 2da. base   	3 	Yankees
27). 	 Movimiento a 1er. base   	4 	Yankees
28). 	 strike   	5 	Yankees
29). 	 doble play   	5 	Yankees
30). 	 out   	4 	Yankees
31). 	 out   	5 	Yankees
32). 	 Cambio de juego   	2 	Yankees
33). 	 strike   	1 	Indios
34). 	 Conctato a pelota   	1 	Indios
35). 	 out   	1 	Indios
36). 	 foul   	2 	Indios
37). 	 Conctato a pelota   	2 	Indios
38). 	 hit   	2 	Indios
39). 	 Movimiento a 1er. base   	2 	Indios
40). 	 foul   	3 	Indios
41). 	 foul   	3 	Indios
42). 	 doble play   	3 	Indios
43). 	 out   	2 	Indios
44). 	 out   	3 	Indios
45). 	 Cambio de juego   	1 	Indios
46). 	 strike   	6 	Yankees
47). 	 strike   	6 	Yankees
48). 	 strike   	6 	Yankees
49). 	 ponche   	6 	Yankees
50). 	 foul   	7 	Yankees
51). 	 Conctato a pelota   	7 	Yankees
52). 	 out   	7 	Yankees
53). 	 1 bola   	8 	Yankees
